ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,spine_length,tip_distance,spine_num,upper_spines,lower_spines,country,location,notes
34,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,1,5.17,3.49,4.04,0,0,4,0,1,Ecuador,Cabo Douglas,
35,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,2,5.74,3.83,4.46,0,0,4,0,1,Ecuador,Cabo Douglas,
36,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,3,5.77,3.97,5.4,0,0,4,0,1,Ecuador,Cabo Douglas,
37,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,4,4.59,2.59,4.11,0,0,4,0,1,Ecuador,Cabo Douglas,
38,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,5,4.21,2.26,3.6,0,0,2,0,0,Ecuador,Cabo Douglas,
39,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,6,4.93,3.37,3.87,0,0,4,0,1,Ecuador,Cabo Douglas,
40,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,7,4.93,2.78,3.99,0,0,4,0,1,Ecuador,Cabo Douglas,
41,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,8,4.45,2.01,4.12,0,0,2,0,0,Ecuador,Cabo Douglas,
42,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,9,3.61,1.65,3.26,0,0,2,0,0,Ecuador,Cabo Douglas,
43,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,10,5.63,3.96,5.74,1.25,3.12,2,1,0,Ecuador,Cabo Douglas,
44,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,11,5.29,3.26,5.06,0,0,2,0,0,Ecuador,Cabo Douglas,
45,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,12,5.99,3.75,5.32,1.44,4.95,2,1,0,Ecuador,Cabo Douglas,
46,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,13,5.67,3.7,5.23,0,0,2,0,0,Ecuador,Cabo Douglas,
47,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,14,7.1,5.12,5.99,0,0,2,0,0,Ecuador,Cabo Douglas,
48,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,15,4.42,2.5,3.75,0,0,2,0,0,Ecuador,Cabo Douglas,
49,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,1,6.74,3.11,4.83,2.94,6.97,4,1,1,Ecuador,Punta Cevallos,
50,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,2,5.21,2.46,4.59,2.27,4.93,2,1,0,Ecuador,Punta Cevallos,
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,6.59,3.18,4.83,1.96,5.78,4,1,1,Ecuador,Punta Cevallos,
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,5.92,2.81,5.06,3.17,6.51,4,1,1,Ecuador,Punta Cevallos,
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,5.93,2.89,5.12,3.44,8.13,4,1,1,Ecuador,Punta Cevallos,
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,7.1,3.21,5.74,3.66,8.02,4,1,1,Ecuador,Punta Cevallos,
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,6.21,2.93,4.94,2.56,6.11,4,1,1,Ecuador,Punta Cevallos,
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,6.01,2.61,4.01,2.67,5.79,4,1,1,Ecuador,Punta Cevallos,
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,6.07,2.93,5.28,3.19,6.51,4,1,1,Ecuador,Crater,
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,4.73,2.64,4.12,2.66,6.39,4,1,1,Ecuador,Crater,
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,5.85,2.71,5.03,2.71,5.96,4,1,1,Ecuador,Crater,
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,5.75,3.16,4.61,3.79,7.79,4,1,1,Ecuador,Crater,
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,6.52,2.87,4.76,1.97,5.04,4,1,1,Ecuador,,
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,7.09,3.31,5.14,3.03,6.26,4,1,1,Ecuador,,
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,5.58,2.82,4.46,2.76,5.83,4,1,1,Ecuador,,
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,4.73,2.2,4.04,2.87,4.54,4,1,1,Ecuador,,
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,5.46,2.85,4.42,3.77,5.93,4,1,1,Ecuador,,
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,7.44,2.24,4.03,3.37,4.37,2,1,0,Ecuador,,
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,6.68,3.38,4.85,3.27,7.34,2,1,0,Ecuador,,
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,4.43,2.01,3.57,2.11,5.37,2,1,0,Ecuador,Bainbridge,
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,4.9,1.67,4.77,0,0,2,0,0,Ecuador,Bainbridge,
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,5.51,4.47,4.87,3.14,7.5,2,1,0,Ecuador,Cerro Punta Pitt,
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,5.47,4.44,4.84,2.64,7.83,2,1,0,Ecuador,Cerro Punta Pitt,
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,4.53,3.2,4.33,1.58,4.51,2,1,0,Ecuador,Cerro Punta Pitt,
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,5.87,3.75,4.71,5.1,3.86,4,1,1,Ecuador,Cerro Punta Pitt,
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,6.27,3.32,5,3.39,8.15,4,1,1,Ecuador,Cerro Punta Pitt,
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,8.04,4.78,6.39,3.47,9.92,2,1,0,Ecuador,Cerro Punta Pitt,
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,7.61,3.44,5.29,4.95,11.54,4,1,1,Ecuador,Cerro Punta Pitt,
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,6.21,4.97,6.03,2.23,5.78,4,1,1,Ecuador,Cerro Punta Pitt,
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,5.13,2.43,4.52,2.5,6.73,2,1,0,Ecuador,Cerro Punta Pitt,
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,6.24,1.87,4.52,2.78,5.55,2,1,0,Ecuador,Cerro Punta Pitt,
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,6.27,2.86,4.88,3.67,7.53,2,1,0,Ecuador,Cerro Punta Pitt,
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,5.76,3.81,5.19,1.92,4.86,2,1,0,Ecuador,Cerro Punta Pitt,
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,5.45,4.14,4.84,1.64,4.01,2,1,0,Ecuador,Cerro Punta Pitt,
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,6.62,2.83,4.33,3.95,10.08,4,1,1,Ecuador,Botadero,
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,5.64,2.21,3.63,3.41,6.49,4,1,1,Ecuador,Botadero,
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,5.23,3.42,4.51,0,0,4,0,1,Ecuador,Puerto Villamil,
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4.9,2.76,4.43,0,0,4,0,1,Ecuador,Puerto Villamil,
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4.67,2.76,4.48,0,0,4,0,1,Ecuador,Puerto Villamil,
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,5.18,2.99,4.26,0,0,4,0,1,Ecuador,Puerto Villamil,
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,3.79,2.38,2.7,0,0,4,0,1,Ecuador,Puerto Villamil,
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,1,5.81,2.49,4.36,3.24,6.89,4,1,1,Ecuador,Volcan Sierra Negra,
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,2,5.81,2.3,4.32,4.04,6.52,4,1,1,Ecuador,Volcan Sierra Negra,
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,3,5.52,2.24,4.23,3.77,6.72,4,1,1,Ecuador,Volcan Sierra Negra,
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,4,4.32,1.83,3.35,1.66,3.69,4,1,1,Ecuador,Volcan Sierra Negra,
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela ,1,5,4.33,1.53,3.07,1.92,2.81,4,1,1,Ecuador,Volcan Sierra Negra,
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,6.15,3.24,4.95,2.87,6.74,4,1,1,Ecuador,Baltra Airport,
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,6.75,3.74,5.4,2.74,6.71,4,1,1,Ecuador,Baltra Airport,
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,7.32,4.61,6.08,1.91,7.03,4,1,1,Ecuador,Baltra Airport,
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,5.46,3.03,4.82,2.87,4.54,4,1,1,Ecuador,Baltra Airport,
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,6.09,3.18,5.02,2.19,5.96,4,1,1,Ecuador,Baltra Airport,
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,4.88,2.97,4.67,0,0,4,0,1,Ecuador,Baltra Airport,
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,5.46,3.25,4.87,3.54,6.98,4,1,1,Ecuador,Baltra Airport,
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,8.14,4.05,5.74,1.95,5.95,4,1,1,Ecuador,Baltra Airport,
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,6.78,3.81,5.43,2.41,6.7,4,1,1,Ecuador,Baltra Airport,
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,6.67,3.8,5.54,3.34,7.17,4,1,1,Ecuador,Baltra Airport,
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,6.45,3.87,5.27,2.99,6.46,4,1,1,Ecuador,Baltra Airport,
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,7.21,3.38,5.49,6.7,3.66,4,1,1,Ecuador,Baltra Airport,
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,5.56,3.39,5.17,1.89,3.5,4,1,1,Ecuador,Baltra Airport,
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,6.98,3.9,5.57,2.41,5.74,4,1,1,Ecuador,Baltra Airport,
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,7.13,2.97,5.8,3.74,8.49,2,1,0,Ecuador,North,
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,7.03,3.1,5.54,3.22,8.44,2,1,0,Ecuador,North,
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,4.34,2.05,3.78,0,0,2,0,0,Ecuador,North,
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,5.59,2.87,4.01,0,0,2,0,0,Ecuador,North,
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,5.89,3.25,5.24,3.51,7.43,2,1,0,Ecuador,North,
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,6,5.58,2.83,3.87,1.57,3.99,2,1,0,Ecuador,North,
115,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,8.29,3.62,4.89,4.05,12.23,2,1,0,Ecuador,Academy Bay,
116,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,8.48,3.58,4.85,4.44,10.18,2,1,0,Ecuador,Academy Bay,
117,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,8.21,3.77,4.86,4.21,7.68,2,1,0,Ecuador,Academy Bay,
118,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,6.84,2.73,4.26,3.31,6.35,2,1,0,Ecuador,Academy Bay,
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,5.36,2.93,4.94,5.67,11.27,2,1,0,Ecuador,Punta Suarez,
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,6.1,3.26,5.48,5.78,11.53,2,1,0,Ecuador,Punta Suarez,
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,6.78,6.61,5.82,6.54,12.22,2,1,0,Ecuador,Punta Suarez,
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,6.29,3.37,6.14,7.22,14.49,2,1,0,Ecuador,Punta Suarez,
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,4.93,2.54,4.18,3.01,7.21,2,1,0,Ecuador,Punta Suarez,
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,6.09,3.59,4.86,4.39,9.77,2,1,0,Ecuador,Punta Suarez,
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,5.63,2.98,5.04,3.91,8.19,2,1,0,Ecuador,Punta Suarez,
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,5.75,2.85,3.93,4.4,7.71,2,1,0,Ecuador,Punta Suarez,
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,5.48,2.92,4.57,5.28,8.89,2,1,0,Ecuador,Punta Suarez,
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,6.09,2.83,5.05,5.19,10.32,2,1,0,Ecuador,Punta Suarez,
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,5.44,2.26,4.7,4.78,10.05,2,1,0,Ecuador,Punta Suarez,
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,6.56,3.49,5.81,6.58,13.73,2,1,0,Ecuador,Punta Suarez,
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,6.7,3.12,5.01,4.9,9.7,2,1,0,Ecuador,Punta Suarez,
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,6.87,3.81,5.86,4.17,9.99,2,1,0,Ecuador,Punta Suarez,
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,3.95,2.43,3.68,4.99,8.9,2,1,0,Ecuador,Punta Suarez,
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,4.51,2.62,4.01,6.08,10.91,2,1,0,Ecuador,Punta Suarez,
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,5.23,2.4,4.92,4.25,9.3,2,1,0,Ecuador,Punta Suarez,
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,4.98,2.63,4.77,4.03,7.24,2,1,0,Ecuador,Punta Suarez,
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,4.98,2.53,4.58,3.37,8.12,2,1,0,Ecuador,Punta Suarez,
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,5.75,3.22,5.74,4.95,10.91,2,1,0,Ecuador,Punta Suarez,
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,5.54,2.85,5.18,5.61,9.98,2,1,0,Ecuador,Punta Suarez,
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,5.12,2.61,5.28,3.94,8.08,2,1,0,Ecuador,Punta Suarez,
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,5.75,2.4,4.97,4.75,8.51,2,1,0,Ecuador,Punta Suarez,
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,5.98,2.79,5.06,4.18,9.73,2,1,0,Ecuador,Punta Suarez,
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,5.94,2.57,4.86,2.41,6.73,2,1,0,Ecuador,Punta Suarez,
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,5.94,3.34,6.05,5.72,11.03,2,1,0,Ecuador,Punta Suarez,
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,5.62,2.91,4.12,4.69,9,2,1,0,Ecuador,Punta Suarez,
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,4.39,2.44,4.2,4.85,11.45,2,1,0,Ecuador,Punta Suarez,
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,6.02,2.76,5.12,5,9.27,2,1,0,Ecuador,Punta Suarez,
148,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,5.58,2.54,4.12,4.01,8.24,2,1,0,Ecuador,Punta Suarez,
149,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,6,2.89,5.17,6.3,12.56,2,1,0,Ecuador,Punta Suarez,
150,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,6.35,3.42,3.41,3.74,8.1,2,1,0,Ecuador,Punta Suarez,
151,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,17,5.34,2.78,4.43,5.25,9.35,2,1,0,Ecuador,Punta Suarez,
152,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,18,7.83,4.09,5.77,5.13,10.57,2,1,0,Ecuador,Punta Suarez,
153,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,19,6.39,3.43,6.67,5.27,10.91,2,1,0,Ecuador,Punta Suarez,
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,20,7.26,3.87,5.34,5.55,11.2,2,1,0,Ecuador,Punta Suarez,
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,21,6.09,3.89,6.12,4.08,8.66,2,1,0,Ecuador,Punta Suarez,
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,22,8.13,3.89,6,5.78,12.16,2,1,0,Ecuador,Punta Suarez,
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,23,6.28,3.19,5.4,6.03,11.19,2,1,0,Ecuador,Punta Suarez,
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,24,7.15,3.53,4.51,5.02,8.76,2,1,0,Ecuador,Punta Suarez,
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,25,6.23,2.78,4.88,5.85,10.7,2,1,0,Ecuador,Punta Suarez,
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,26,6.93,3.08,5.22,5.6,9.85,2,1,0,Ecuador,Punta Suarez,
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,27,7.23,2.79,5.04,4.77,9.95,2,1,0,Ecuador,Punta Suarez,
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,28,5.32,3.73,4.67,4.16,7.65,2,1,0,Ecuador,Punta Suarez,
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,6.41,3.12,5.18,4.01,7.83,2,1,0,Ecuador,Punta Suarez,
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,29,5.89,3.04,3.14,3.54,8.43,2,1,0,Ecuador,Punta Suarez,
165,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,30,7.28,4.21,5.94,5.12,10.7,2,1,0,Ecuador,Punta Suarez,
166,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,31,5.97,2.89,5.1,5.45,10.98,2,1,0,Ecuador,Punta Suarez,
167,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,32,6.34,2.94,5.26,5.63,9.21,2,1,0,Ecuador,Punta Suarez,
168,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,33,7.64,3.34,5.59,4.48,8.85,2,1,0,Ecuador,Punta Suarez,
169,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,34,6.04,3,4.63,4.22,8.74,2,1,0,Ecuador,Punta Suarez,
170,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,35,7.09,2.89,5.22,7.7,13.88,2,1,0,Ecuador,Punta Suarez,
171,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,36,5.16,2.86,4.56,3.09,7,2,1,0,Ecuador,Punta Suarez,
172,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,37,6.5,2.78,4.89,4.69,7.2,2,1,0,Ecuador,Punta Suarez,
173,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,38,5.81,3.14,5.03,4.98,8.64,2,1,0,Ecuador,Punta Suarez,
174,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,39,7.06,3.59,5.87,5.12,11.12,2,1,0,Ecuador,Punta Suarez,
